latitude,longitude,iceberg_risk,risk_class,iceberg_count
-39.570667,-42.230556,0.0,0,0
-39.885147,-41.77832,0.0,0,0
-40.197605,-41.319572,0.0,0,0
-40.508003,-40.85435,0.0,0,0
-40.81618,-40.3824,0.0,0,0
-41.122158,-39.903885,0.0,0,0
-41.425716,-39.418407,0.0,0,0
-41.72692,-38.9263,0.0,0,0
-42.025505,-38.427,0.0,0,0
-42.321556,-37.92096,0.0,0,0
-42.61481,-37.407616,0.0,0,0
-42.905334,-36.887352,0.0,0,0
-43.192886,-36.359726,0.0,0,0
-43.477497,-35.82498,0.0,0,0
-43.75896,-35.28284,0.0,0,0
-44.03726,-34.7334,0.0,0,0
-44.31224,-34.17654,0.0,0,0
-44.58381,-33.612213,0.0,0,0
-44.851902,-33.04046,0.0,0,0
-45.116333,-32.461082,0.0,0,0
-45.377117,-31.874302,0.0,0,0
-45.633987,-31.279774,0.0,0,0
-45.88703,-30.677874,0.0,0,0
-46.135914,-30.06812,0.0,0,0
-46.380783,-29.451038,0.0,0,0
-46.62124,-28.82606,0.0,0,0
-46.857468,-28.193747,0.0,0,0
-47.089096,-27.553648,0.0,0,0
-47.316235,-26.906178,0.0,0,0
-47.538597,-26.251064,0.0,0,0
-47.756203,-25.588573,0.0,0,0
-47.968857,-24.918606,0.0,0,0
-48.176487,-24.241302,0.0,0,0
-48.378998,-23.556732,0.0,0,0
-48.576214,-22.864899,0.0,0,0
-48.768143,-22.166039,0.0,0,0
-48.954514,-21.460041,0.0,0,0
-49.135437,-20.747297,0.0,0,0
-49.31053,-20.02758,0.0,0,0
-49.480045,-19.301437,0.0,0,0
-49.643448,-18.568539,0.0,0,0
-49.80109,-17.829517,0.0,0,0
-49.95246,-17.08411,0.0,0,0
-50.097828,-16.332863,0.0,0,0
-50.23679,-15.575666,0.0,0,0
-50.369514,-14.812952,0.0,0,0
-50.49572,-14.044761,0.0,0,0
-50.615456,-13.271423,0.0,0,0
-50.728573,-12.493119,0.0,0,0
-50.834995,-11.710091,0.0,0,0
-50.934715,-10.922636,0.0,0,0
-51.027534,-10.130929,0.0,0,0
-51.113594,-9.335362,0.0,0,0
