id,observations,start,end,duration_days,lat_min,lat_max,lon_min,lon_max
d15a,3391,2016-01-31,2026-04-22,3734,-66.7,0.0,0.0,82.14
d15b,3681,2016-02-01,2026-04-22,3733,-67.0833,0.0,0.0,81.75
d15c,88,2026-01-16,2026-04-30,104,-67.14,-66.77,79.65,81.05
d20,20,2013-06-24,2013-10-18,116,-69.2667,-69.16,36.39,36.65
d20a,4367,2011-08-30,2023-08-25,4378,-74.86,0.0,-53.4,36.5667
d20b,993,2014-09-12,2017-05-31,992,-69.0167,0.0,0.0,36.3667
d21,35,2013-11-01,2014-03-28,147,-66.2,-66.2,85.7667,85.7667
d21a,1583,2013-11-13,2018-03-14,1582,-74.1333,0.0,-46.8667,34.3
d21b,2517,2014-06-14,2021-05-11,2523,-77.6333,0.0,-46.0167,82.7333
d22,2241,2013-11-10,2020-01-16,2258,-67.1167,0.0,0.0,87.1333
d23,3715,2016-01-01,2026-04-22,3764,-69.51,0.0,0.0,74.74
d24,74,2016-01-01,2016-03-14,73,-66.1667,0.0,0.0,57.7333
d25,156,2016-02-05,2016-07-17,163,-69.3333,0.0,0.0,37.95
d26,2600,2016-04-04,2023-05-18,2600,-69.4167,0.0,0.0,29.65
d27,2005,2018-02-28,2023-08-25,2004,-74.69,0.0,-41.84,81.87
d28,1433,2019-09-23,2023-08-25,1432,-74.62,0.0,-56.11,74.0667
d29a,806,2021-06-11,2023-08-25,805,-73.85,0.0,-46.5,21.67
d29b,806,2021-06-11,2023-08-25,805,-74.78,0.0,-55.88,22.16
d29c,806,2021-06-11,2023-08-25,805,-73.73,0.0,-50.44,22.15
d30a,806,2021-06-11,2023-08-25,805,-74.77,0.0,-56.67,18.59
d30b,1573,2021-06-11,2026-04-22,1776,-74.33,0.0,-53.8,19.7
d31,573,2022-01-28,2023-08-25,574,-74.58,0.0,-54.0,2.34
d32,1236,2022-10-15,2026-04-22,1285,-74.01,0.0,-47.66,71.48
d33a,908,2023-09-08,2026-04-22,957,-74.52,0.0,-58.01,17.14
d33b,908,2023-09-08,2026-04-22,957,-77.33,0.0,-53.35,18.3
d33c,701,2024-04-19,2026-04-30,741,-74.35,0.0,-58.76,0.0
d34,887,2023-10-20,2026-04-22,915,-67.19,0.0,0.0,82.12
d35,839,2024-01-05,2026-04-22,838,-74.8,0.0,-48.97,21.01
d36,776,2024-02-08,2026-04-22,804,-66.31,0.0,0.0,86.63
d37,427,2025-02-20,2026-04-22,426,-69.22,0.0,0.0,36.35
e01,294,1992-02-09,1992-11-28,293,-72.5394,-71.5829,-112.3771,-108.5422
e02,318,1992-02-09,1992-12-22,317,-71.08,-67.4298,-161.0,-147.363
e03,119,9222-01-06,9235-01-07,4749,-73.279,-67.9944,-175.3895,-170.8966
e04,315,1992-02-09,1992-12-19,314,-65.94,-65.3863,136.872,141.88
e05,675,1992-02-12,1993-12-17,674,-67.8858,-67.2,78.4727,79.6901
e06,140,1992-08-16,1993-01-02,139,-69.2823,-65.2669,27.3197,51.4139
e07,248,1994-05-07,1995-01-09,247,-67.812,-65.1692,52.4358,71.3088
e08,189,1995-05-31,1995-12-05,188,-66.3342,-65.268,49.0087,58.2868
e09,189,1995-02-12,1995-08-19,188,-69.31,-64.9822,-59.2443,-57.056
e10,65,1997-11-24,1998-01-27,64,-73.24,-72.9207,-176.6616,-175.07
e11,192,1993-04-22,1993-10-30,191,-68.9615,-66.5718,-171.6113,-161.0288
e12,99,1993-04-25,1993-08-01,98,-68.97,-66.8047,-179.9505,179.85
e13,114,1996-08-02,1996-11-23,113,-69.7507,-66.286,-127.9544,-121.1453
e14,494,1997-08-20,1998-12-26,493,-76.74,-74.2138,-179.8,179.8931
e15,237,1998-04-19,1998-12-11,236,-66.2328,-61.9397,66.274,79.59
e16,431,1998-08-17,1999-10-21,430,-76.0528,-65.839,-179.95,179.8958
e17,431,1998-08-17,1999-10-21,430,-75.5948,-65.1284,-179.9,179.9047
e18,150,1999-07-27,1999-12-23,149,-75.4037,-67.7458,-174.1558,-166.0922
e19,153,1999-04-01,1999-08-31,152,-70.9912,-65.3936,-179.98,179.9252
e20,518,1998-06-09,1999-11-08,517,-74.6625,-60.796,-47.5964,-28.0065
e21,36,1997-02-15,1997-03-22,35,-66.5,-66.0981,60.9709,61.812
sa02,70,1978-07-23,1978-09-30,69,-65.6096,-63.4277,-39.8128,-35.4274
sa03,72,1978-07-23,1978-10-02,71,-67.51,-66.9943,-58.55,-58.2691
sa04,72,1978-07-23,1978-10-02,71,-71.7816,-69.349,-56.8389,-56.4968
sa05,72,1978-07-23,1978-10-02,71,-74.1749,-71.8145,-45.5466,-38.1611
sa06,24,1978-09-09,1978-10-02,23,-76.804,-76.2843,-40.1004,-37.6601
sa07,24,1978-09-09,1978-10-02,23,-75.96,-75.1925,-31.3977,-30.7705
uk01,251,2001-01-10,2001-10-30,293,-62.2611,-55.1777,-54.5006,-35.6794
uk02,301,2001-04-20,2002-02-14,300,-77.246,-69.1869,-34.5944,17.16
uk03,164,2001-05-15,2001-10-25,163,-63.45,-53.19,-58.7376,-43.6291
uk04,235,2001-05-15,2002-01-04,234,-63.69,-52.6267,-56.0457,-40.7589
uk05,121,2001-03-16,2001-07-14,120,-72.0891,-71.7511,-15.2861,-14.1191
uk052,819,2011-08-30,2014-01-21,875,-65.3331,-64.9576,102.7646,103.2847
uk06,55,2001-08-28,2001-10-21,54,-57.51,-54.3931,-47.9,-40.6064
uk07,129,2001-08-25,2001-12-31,128,-62.85,-52.6323,-53.081,-40.7456
uk08,145,2001-08-25,2002-01-16,144,-63.9738,-58.2691,-54.6751,-46.1976
uk093,1365,2011-08-30,2015-05-25,1364,-66.7025,-66.3795,80.5,81.2817
uk10,183,2001-10-21,2002-04-21,182,-64.6687,-62.4357,-56.08,-53.8048
uk100,133,2004-02-16,2004-06-27,132,-57.3751,-53.8556,-46.8,-37.1068
uk110,166,2004-08-07,2005-01-19,165,-65.6162,-62.9191,80.3591,86.8657
uk112,151,2004-07-07,2004-12-06,152,-66.497,-64.7614,78.9643,93.9176
uk116,793,2004-07-12,2006-12-18,889,-66.4737,-62.5956,73.3749,93.9176
uk119,189,2004-08-31,2005-05-02,244,-70.515,-63.88,-179.4653,179.796
uk12,410,2001-10-21,2002-12-04,409,-64.1,-59.3936,-52.48,-41.0103
uk120,528,2004-08-30,2006-02-27,546,-71.3492,-61.3093,-179.9474,179.4498
uk122,172,2004-09-24,2005-04-05,193,-64.1784,-59.6398,155.9712,161.8417
uk125,151,2017-03-02,2017-07-30,150,-67.6601,-62.2859,-47.1411,-35.4793
uk126,19,2004-09-25,2004-10-13,18,-55.0537,-54.162,-35.8443,-35.2801
uk13,349,2001-10-21,2003-10-24,733,-63.22,0.0,-51.0431,0.0
uk130,241,2018-05-10,2019-01-05,240,-69.7406,-69.5949,11.1957,11.7799
uk131,7,2005-01-18,2005-01-24,6,-66.2381,-65.9658,62.0764,63.2341
uk132,28,2005-05-11,2005-06-07,27,-64.7846,-64.0589,99.564,104.3302
uk133,143,2005-06-25,2005-11-14,142,-64.9794,-64.482,130.1154,132.7645
uk134,166,2005-06-29,2006-01-08,193,-65.6643,-64.866,112.3822,123.5964
uk135,39,2005-06-25,2005-09-08,75,-69.053,-68.269,28.3268,33.0311
uk136,803,2005-07-02,2007-12-17,898,-75.6706,-65.5136,-55.2766,33.1088
uk137,373,2005-07-11,2006-09-09,425,-68.5278,-65.3186,31.6648,67.1297
uk138,499,2005-04-20,2006-09-18,516,-75.9253,-65.2246,-55.4042,6.4014
uk139,164,2005-07-21,2005-12-31,163,-73.9656,-71.3546,-43.551,-23.3536
uk14,354,2002-01-03,2002-12-22,353,-64.5843,-54.0441,-52.74,-41.9308
uk140,154,2005-07-21,2005-12-21,153,-71.8992,-69.1786,-30.6374,-20.4655
uk144,59,2006-02-17,2006-04-16,58,-65.4487,-64.5983,132.4055,138.2395
uk145,1220,2006-02-14,2009-11-23,1378,-67.0547,-63.1246,56.1815,102.2157
uk147,26,2005-04-27,2005-05-22,25,-65.822,-65.4999,85.0573,88.59
uk148,503,2006-03-26,2008-10-14,933,-74.6038,-67.5112,-42.5212,44.3937
uk15,442,2002-01-03,2003-03-20,441,-64.1,-54.0222,-50.07,-32.1437
uk151,264,2005-04-07,2005-12-26,263,-65.4382,-65.2952,115.576,116.5974
uk155,537,2006-09-26,2008-03-15,536,-70.1554,-65.4182,1.2478,75.7686
uk156,220,2007-01-27,2007-09-03,219,-68.7644,-62.3856,-50.5507,-37.1801
uk157,1026,2007-02-01,2009-11-22,1025,-76.8062,-72.883,-48.0174,-41.795
uk158,304,2007-02-01,2007-12-01,303,-75.2584,-68.3302,-47.3526,-27.1249
uk159,275,2007-03-20,2007-12-19,274,-76.0249,-68.0899,-54.3368,-45.8448
uk16,332,2002-01-04,2002-12-01,331,-63.9416,-57.2326,-38.16,-13.0513
uk160,311,2007-01-19,2007-11-25,310,-63.4133,-51.8226,-53.3551,-16.5023
uk161,296,2007-03-29,2008-01-31,308,-69.2084,-65.4484,39.7379,79.9785
uk163,73,2007-06-04,2007-08-15,72,-68.7563,-65.4755,173.0486,177.2049
uk164,888,2007-06-03,2009-11-22,903,-65.7835,-65.5718,115.2076,115.6253
uk165,214,2007-05-27,2008-03-18,296,-70.0311,-65.1213,22.8779,62.4275
uk166,201,2007-06-03,2007-12-20,200,-76.2697,-71.2853,-56.1197,-50.4162
uk17,139,2002-01-04,2002-05-22,138,-62.15,-59.2481,-29.0,-19.3959
uk170,129,2007-10-01,2008-03-11,162,-69.7728,-67.6427,16.9575,35.9595
uk171,64,2007-03-07,2007-05-09,63,-66.2841,-65.0434,139.4388,148.8923
uk172,1328,2006-02-04,2009-11-23,1388,-67.0374,-66.3874,148.2685,150.216
uk173,1394,2005-01-11,2008-12-31,1450,-65.94,-65.1343,121.3272,134.197
uk174,1460,2006-02-20,2012-03-11,2211,-65.5419,0.0,0.0,114.2616
uk175,1322,2005-02-18,2008-12-18,1399,-67.6748,-67.4582,70.5729,71.2196
uk176,185,2007-03-16,2007-09-16,184,-65.8026,-64.3788,90.5618,96.3874
uk177,607,2007-01-30,2008-11-25,665,-74.3542,-50.8847,-53.641,-32.4127
uk179,59,2007-03-20,2007-05-17,58,-66.6576,-64.4937,52.4086,72.8779
uk18,60,2002-01-19,2002-03-19,59,-70.9797,-69.6551,163.5745,171.3507
uk180,294,2007-02-28,2008-01-07,313,-76.0157,-74.6207,-36.6458,-27.8154
uk183,931,2006-10-30,2009-06-20,964,-65.7878,-65.437,52.8804,54.8087
uk185,676,2007-04-30,2009-03-19,689,-66.0596,-64.8327,49.9096,55.6331
uk186,659,2007-03-08,2008-12-25,658,-68.777,-68.7581,39.5191,39.5393
uk187,638,2007-10-30,2009-11-22,754,-67.6477,-67.524,42.9198,43.3647
uk188,141,2007-09-12,2008-04-07,208,-69.9883,-69.2143,14.6973,29.3635
uk189,20,2008-02-25,2008-04-08,43,-67.7714,-67.6073,42.1454,42.4219
uk19,949,2001-07-19,2004-02-22,948,-69.7121,-69.6304,162.2766,162.53
uk190,25,2007-12-21,2008-02-07,48,-60.6326,-58.5847,-39.3886,-30.8377
uk191,28,2008-01-23,2008-03-12,49,-61.3579,-60.976,157.3095,161.5522
uk192,1397,2008-02-11,2013-09-30,2058,-66.2866,0.0,0.0,129.9318
uk193,621,2008-03-12,2009-11-22,620,-73.234,-72.822,-111.107,-109.5531
uk194,359,2008-03-12,2009-03-19,372,-74.3349,-68.049,-155.9417,-137.7676
uk195,72,2008-01-30,2008-04-10,71,-64.7125,-63.8303,106.9957,108.3293
uk196,25,2008-03-12,2008-04-05,24,-65.9716,-65.7529,76.4916,79.0825
uk20,401,2002-01-18,2003-02-22,400,-65.81,-59.4049,150.0136,159.9758
uk201,140,2005-02-20,2005-07-09,139,-60.9819,-57.7824,-51.8748,-42.4224
uk202,22,2005-02-21,2005-03-14,21,-60.5949,-57.1809,-52.3533,-50.4535
uk203,9,2005-03-14,2005-03-22,8,-57.6297,-56.1283,-50.8161,-49.0759
uk205,227,2004-07-27,2005-03-10,226,-64.5464,-58.2234,-55.0552,-43.441
uk206,349,2004-11-10,2005-12-14,399,-75.6383,-64.3057,-47.2501,-34.1908
uk207,657,2004-11-13,2006-10-02,688,-76.2055,-56.794,-49.9405,-36.0241
uk208,264,2005-01-16,2005-10-06,263,-75.7215,-65.3466,-46.8866,-32.8665
uk209,97,2005-07-06,2005-10-10,96,-69.576,-65.7875,-46.3215,-39.8113
uk21,90,2002-01-15,2002-04-14,89,-64.61,-61.1066,154.0813,160.2237
uk210,368,2004-12-23,2005-12-25,367,-78.0795,-65.958,-53.2221,-43.4847
uk211,2546,1999-07-19,2006-11-06,2667,-69.1351,-52.4562,-60.9431,-42.2352
uk212,411,2006-02-03,2007-03-20,410,-68.1489,-57.2149,-55.8847,-43.216
uk213,101,2006-06-27,2006-10-05,100,-63.7454,-53.8236,-57.0164,-47.0529
uk215,654,2005-01-18,2006-11-02,653,-74.5489,-62.8747,-50.2034,33.6396
uk216,265,2006-02-04,2006-10-26,264,-74.9067,-64.5753,-52.6581,-45.9403
uk217,268,2006-01-27,2006-10-21,267,-75.3383,-65.5955,-51.1747,-43.4002
uk22,75,2002-01-22,2002-04-06,74,-64.59,-62.7981,160.82,172.0266
uk220,212,2006-04-02,2006-10-30,211,-75.6801,-64.6502,-53.487,-50.4255
uk221,258,2005-05-04,2006-01-22,263,-66.2745,-65.6166,-60.9875,-58.0059
uk222,137,2005-02-13,2005-06-29,136,-63.2342,-60.324,-60.4169,-55.1761
uk23,67,2002-01-21,2002-03-28,66,-68.3615,-67.2495,155.6076,159.82
uk231,224,2006-12-24,2007-08-04,223,-63.7578,-60.8601,-48.5823,-45.0962
uk233,151,2006-12-20,2007-05-19,150,-61.429,-56.1565,-39.6211,-31.8522
uk234,31,2008-01-01,2008-01-31,30,-60.2478,-59.2376,-52.4079,-51.1291
uk235,1434,2008-01-19,2019-06-06,4156,-77.5759,0.0,-35.654,14.4052
uk236,148,2008-01-24,2008-09-12,232,-61.1736,-57.1494,-51.949,-40.1807
uk237,147,2008-01-29,2008-08-03,187,-60.6679,-58.929,-51.3426,-46.8632
uk238,76,2008-03-30,2008-06-13,75,-61.5771,-60.2527,-54.0404,-48.8476
uk239,45,2008-03-30,2008-05-13,44,-60.4059,-58.8307,-38.8307,-37.2466
uk24,345,2002-03-04,2003-10-24,599,-69.6775,0.0,-56.0874,0.0
uk240,11,2008-03-30,2008-04-09,10,-63.4971,-63.3247,-53.6523,-53.5897
uk241,25,2008-03-30,2008-04-23,24,-70.6866,-70.1237,-108.4339,-106.263
uk242,45,2008-03-30,2008-05-13,44,-64.0757,-63.2646,119.059,120.7896
uk243,51,2008-04-03,2008-05-23,50,-60.3243,-58.4981,-46.083,-42.485
uk245,263,2008-02-18,2008-12-26,312,-66.7267,-66.6002,78.061,79.1057
uk246,111,2008-03-30,2008-07-18,110,-74.2491,-71.5041,-39.3959,-27.9308
uk247,396,2008-03-14,2009-04-13,395,-59.9006,-55.0548,-49.9003,-35.374
uk248,243,2008-04-11,2008-12-09,242,-58.8493,-51.8875,-46.2712,-34.1048
uk249,587,2008-04-16,2009-11-23,586,-69.117,-68.448,76.4711,77.1877
uk25,447,2002-01-15,2003-04-06,446,-68.193,-67.4634,149.9395,155.9138
uk250,73,2008-05-10,2008-08-03,85,-62.0301,-58.2938,-57.8792,-46.8638
uk251,564,2008-05-08,2009-11-22,563,-65.9285,-65.7038,110.2399,110.5922
uk253,53,2008-07-24,2008-09-14,52,-55.7807,-53.7284,-44.4935,-41.1014
uk254,42,2008-03-20,2008-04-30,41,-65.4826,-65.153,106.0024,106.942
uk255,46,2008-08-03,2008-09-17,45,-53.3673,-52.0008,-42.0532,-40.1948
uk256,442,2008-09-07,2009-11-22,441,-73.6092,-72.5436,-120.1092,-110.2885
uk257,40,2008-08-23,2008-10-01,39,-63.7594,-62.0943,99.9812,101.6448
uk258,44,2008-09-08,2008-10-21,43,-64.9516,-63.4991,83.0154,85.459
uk259,55,2008-09-07,2008-10-31,54,-64.5461,-61.3269,82.8053,86.3935
uk26,345,2002-01-16,2002-12-26,344,-65.58,-54.1828,-52.9098,-33.777
uk261,60,2008-08-27,2008-10-25,59,-55.0892,-54.719,-39.3954,-36.3462
uk262,153,2008-08-15,2009-01-14,152,-73.655,-71.1978,-46.2703,-35.4707
uk263,345,2008-08-15,2009-07-25,344,-74.968,-68.4804,-51.0209,-30.6429
uk264,148,2008-08-15,2009-01-09,147,-73.8843,-71.4316,-42.1847,-29.8231
uk265,176,2008-08-16,2009-02-07,175,-72.9792,-71.2487,-35.0386,-23.6544
uk266,19,2008-08-29,2008-09-16,18,-56.0517,-55.4454,-36.6384,-33.8818
uk267,94,2008-09-02,2008-12-20,109,-57.5559,-51.7245,-38.2318,-28.0106
uk268,221,2008-06-07,2009-01-13,220,-64.8822,-64.384,94.6966,97.4149
uk269,16,2008-10-24,2008-11-08,15,-56.3833,-55.8732,-26.9786,-26.11
uk27,142,2002-01-30,2002-06-20,141,-65.2185,-61.3588,-53.6033,-51.0156
uk270,247,2008-07-30,2009-04-05,249,-74.4465,-72.7936,-108.6581,-103.8112
uk271,105,2008-10-08,2009-01-20,104,-66.8154,-65.7326,117.576,121.4893
uk272,301,2009-01-26,2009-11-22,300,-74.164,-72.5054,-111.7926,-103.4092
uk273,12,2008-12-15,2009-01-21,37,-51.7245,-48.8286,-28.0106,-22.4918
uk274,13,2008-12-15,2009-01-22,38,-51.7245,-49.3548,-28.0106,-25.11
uk275,10,2008-12-15,2009-01-20,36,-51.7245,-50.1114,-28.0106,-25.9246
uk276,356,2008-11-29,2009-11-22,358,-66.0698,-65.3054,-60.976,-60.3105
uk277,63,2009-01-05,2009-03-08,62,-66.4768,-65.6317,-53.1531,-50.9621
uk278,8,2009-02-08,2009-02-15,7,-66.4533,-65.7283,-22.136,-20.3978
uk279,10,2009-02-08,2009-02-17,9,-63.2838,-62.7763,-31.1891,-30.0485
uk28,95,2002-01-02,2002-04-06,94,-74.38,-74.3301,-179.9564,179.9772
uk280,71,2009-02-07,2009-04-18,70,-65.2583,-64.3501,-147.6428,-144.025
uk281,103,2009-02-07,2009-05-20,102,-64.1215,-57.7505,138.8202,156.0218
uk282,55,2009-02-07,2009-04-02,54,-65.5676,-65.3083,132.2077,133.1394
uk283,7,2009-02-07,2009-02-13,6,-67.4893,-67.1796,73.091,73.5594
uk284,228,2009-02-15,2009-09-30,227,-63.752,-60.4817,-51.5188,-42.3372
uk285,112,2009-01-27,2009-05-18,111,-64.0869,-60.9061,-53.7044,-49.3563
uk286,66,2009-05-19,2009-08-12,85,-74.5413,-72.5154,-175.1672,-171.0616
uk288,46,2009-06-13,2009-07-28,45,-64.8783,-64.6676,94.9237,95.4107
uk289,221,2009-04-17,2009-11-23,220,-66.6914,-66.6314,79.5098,79.7009
uk29,35,2002-02-22,2002-03-28,34,-66.9,-66.5679,152.52,153.3922
uk290,499,2011-08-29,2013-02-05,526,-68.9155,-64.6952,-59.1279,-57.0947
uk291,193,2009-05-14,2009-11-22,192,-73.0379,-72.2592,-119.7036,-113.0598
uk292,125,2009-07-21,2009-11-22,124,-76.5012,-74.8045,-47.8574,-40.8633
uk293,187,2009-05-20,2009-11-22,186,-76.8025,-72.6304,-52.4448,-48.1676
uk294,119,2009-07-27,2009-11-22,118,-76.7,-74.778,-52.3571,-45.7996
uk295,22,2009-11-02,2009-11-23,21,-66.4839,-65.588,56.1873,59.12
uk297,26,2009-10-29,2009-11-23,25,-65.6475,-65.1251,147.8058,149.9983
uk30,196,2002-07-15,2003-01-26,195,-64.231,-61.2749,-51.8441,-44.3807
uk304,121,2011-08-30,2011-12-28,120,-65.4637,-63.963,78.6704,84.2824
uk31,263,2002-04-28,2003-01-15,262,-64.6785,-61.3449,-56.2029,-52.7022
uk314,692,2011-08-29,2013-09-30,763,-65.5959,-65.2609,125.4261,127.3954
uk315,1175,2011-08-30,2014-12-15,1203,-65.839,-64.0735,91.9096,98.4056
uk316,1223,2012-01-19,2015-05-25,1222,-66.4352,-65.5023,139.5819,143.4882
uk318,81,2011-08-30,2011-11-18,80,-66.9086,-64.1427,-38.8844,-32.4115
uk319,395,2011-08-30,2012-09-27,394,-66.8057,-56.5236,-36.0745,-13.0141
uk32,121,2002-04-28,2002-08-26,120,-65.5226,-57.8647,-54.8254,-49.2698
uk320,509,2011-08-30,2013-01-19,508,-74.5481,-63.1795,-52.0138,-13.8627
uk321,966,2012-03-15,2014-11-05,965,-74.4998,-55.0181,-54.2539,28.283
uk321b,189,2014-04-06,2014-10-11,188,-61.5322,-52.8802,-51.637,-30.9454
uk322,1061,2012-05-03,2015-03-30,1061,-76.3001,-66.7784,-57.956,13.5834
uk323,217,2014-12-08,2015-07-12,216,-66.3806,-64.8693,131.7944,139.43
uk324,4356,2013-10-25,2026-04-22,4562,-76.1932,-65.6408,-179.9439,179.8592
uk325,875,2015-09-23,2018-11-17,1151,-70.2121,-69.4227,13.6968,16.4187
uk326,922,2015-08-23,2018-07-02,1044,-69.9182,-69.435,12.0637,15.5443
uk33,151,2002-04-28,2002-09-25,150,-64.4063,-53.0893,-54.4538,-40.2623
uk34,512,2002-04-27,2003-09-20,511,-64.4447,-51.974,-56.0547,-24.3082
uk35,107,2002-04-24,2002-08-08,106,-65.03,-59.4006,-54.757,-50.19
uk36,68,2002-04-28,2002-07-04,67,-66.9781,-62.7716,-55.6897,-53.2011
uk38,511,2002-05-09,2003-10-24,533,-66.8635,0.0,0.0,152.0536
uk39,501,2002-06-11,2003-10-24,500,-67.2393,0.0,0.0,148.3495
uk40,532,2002-04-27,2003-10-24,545,-66.7145,0.0,0.0,58.4562
uk42,277,2002-04-28,2003-01-29,276,-64.2136,-59.7187,152.4332,157.4297
uk45,82,2002-04-28,2002-07-18,81,-62.6374,-60.0157,-57.5795,-53.7559
uk46,183,2002-04-28,2002-10-27,182,-66.9411,-61.5263,-56.1069,-52.691
uk47,85,2002-04-28,2002-07-21,84,-65.1552,-62.8503,-55.7889,-53.2803
uk48,797,2002-04-28,2004-07-02,796,-66.1946,-65.8159,134.6709,136.6981
uk49,227,2002-04-28,2002-12-10,226,-65.3528,-65.13,134.48,134.8846
uk50,1123,2002-04-28,2006-03-31,1433,-65.7511,-65.281,113.6038,115.8171
uk51,540,2002-04-28,2003-11-20,571,-65.4192,-64.9494,98.7786,99.4228
uk52,3496,2002-04-28,2014-01-21,4286,-65.3331,0.0,0.0,103.2847
uk53,789,2002-04-28,2004-06-27,791,-65.7924,-65.43,92.28,92.6526
uk54,600,2002-05-11,2003-12-31,599,-65.5557,-65.0229,115.1658,116.6839
uk55,252,2002-05-11,2003-01-17,251,-67.2841,-64.58,67.8009,93.06
uk56,184,2003-04-24,2003-10-24,183,-69.7841,-69.7573,162.33,162.4673
uk57,100,2002-06-30,2002-10-07,99,-60.9375,-57.6639,-55.3098,-48.8236
uk58,155,2002-06-30,2002-12-01,154,-60.4825,-55.0597,-54.27,-42.9415
uk59,126,2002-06-30,2002-11-02,125,-59.98,-50.9669,-55.4698,-44.5014
uk60,105,2002-06-30,2002-10-12,104,-65.4588,-64.87,90.4447,94.3
uk61,87,2002-07-04,2002-09-28,86,-61.8959,-59.0659,-176.3896,-165.3413
uk62,124,2002-07-04,2003-06-28,359,-61.3629,0.0,-175.65,0.0
uk63,165,2002-09-22,2003-04-27,217,-76.3355,0.0,0.0,169.1126
uk64,2599,2002-09-22,2009-11-22,2618,-66.0241,-65.5165,124.7095,129.9487
uk65,130,2002-09-22,2003-01-29,129,-66.2784,-66.1435,127.7324,128.2041
uk66,67,2002-10-20,2002-12-25,66,-61.83,-60.7506,-44.6,-43.1559
uk67,28,2002-10-20,2002-11-16,27,-61.7479,-60.798,-45.0286,-43.85
uk68,216,2002-10-20,2003-05-23,215,-66.7047,-65.9279,146.7621,148.2502
uk69,334,2002-10-20,2003-09-18,333,-73.5181,-64.7304,-29.2411,-21.5
uk70,13,2002-10-31,2002-11-12,12,-61.9,-61.2733,159.5776,161.0246
uk71,427,2002-10-31,2003-12-31,426,-72.5108,-67.7763,-36.8176,-18.62
uk72,300,2002-12-29,2003-10-24,299,-74.9506,0.0,-42.2935,0.0
uk73,233,2003-03-06,2003-10-24,232,-64.0667,0.0,-53.8149,0.0
uk74,16,2003-03-06,2003-03-21,15,-61.9597,-61.4554,-44.2333,-41.72
uk75,301,2003-03-06,2003-12-31,300,-65.3161,-61.4845,-57.168,-48.2151
uk84,484,2003-03-30,2004-07-25,483,-75.1772,-71.5394,-154.1006,-110.4667
uk85,209,2003-03-30,2003-10-24,208,-72.4667,0.0,-116.6402,0.0
uk86,252,2003-03-30,2003-12-06,251,-73.1882,-71.5215,-135.0827,-110.5434
uk87,432,2003-07-06,2004-09-09,431,-71.7057,-71.4649,-57.6333,-57.2191
uk88,106,2003-07-06,2003-10-19,105,-69.9247,0.0,0.0,167.65
uk89,134,2003-07-06,2003-11-16,133,-63.5924,-57.1055,146.6,167.2071
uk90,134,2003-07-06,2003-11-16,133,-65.5065,-63.95,126.6879,133.35
uk91,107,2003-08-03,2003-11-17,106,-67.0,-61.9106,-28.0744,-19.9235
uk92,151,2003-08-03,2003-12-31,150,-75.0571,-73.3977,-152.2791,-137.4837
uk93,3627,2003-08-03,2015-05-25,4313,-66.7025,0.0,0.0,81.2817
uk94,83,2003-08-03,2003-10-24,82,-66.3756,-66.3333,93.5333,93.5407
uk95,359,2003-07-20,2004-07-12,358,-65.7435,-56.9193,70.1597,100.0469
uk96,232,2003-10-01,2004-05-19,231,-62.9,0.0,-53.9475,0.0
uk97,259,2003-10-16,2004-06-30,258,-66.6934,-66.4815,80.7661,81.2083
uk99,63,2004-02-16,2004-04-18,62,-54.1167,-53.5827,-39.2426,-38.3021
uka57b,1026,2015-12-31,2018-11-23,1058,-70.0358,-63.5451,-62.91,-54.8678
ukc33,1585,2016-04-07,2021-01-12,1741,-75.1556,-64.7147,128.6622,170.0825
